producer,processor prod,processor model,cores,core base speed (GHz),core boost speed (GHz),ram type,ram cap (GB),ssd (GB),hdd (GB),gpu prod,gpu size (MB),gpu base speed (GHz),gpu boost speed (GHz),screen type,screen size (inch),screen horizontal resolution,screen vertical resolution,sRGB (%),weight (kg),os,battery capacity (WHr),price(USD)
asus,intel,i5,4,2.5,4.5,ddr4,8,0,256,nvidia,4096,1530,1725,led ips,15.6,1920,1080,0,2.3,windows home 10.00,48,749
asus,intel,i5,4,1,3.6,ddr4,8,1000,128,intel,8192,300,1050,led ips,17.3,1920,1080,60,2.3,windows home 10.00,47,749
asus,intel,i5,4,1.6,4.2,ddr4,8,0,512,intel,1700,300,1100,led ips,15.6,1920,1080,60,1.8,windows home 10.00,42,762.5
asus,intel,i5,4,2.3,4,ddr4,16,1000,256,nvidia,2048,1354,1493,led tn wva,15.6,1920,1080,100,2.31,windows home 10.00,48,770.5
asus,intel,i3,2,2.1,4.1,ddr4,8,0,128,intel,1700,300,1100,led ips,14,1920,1080,100,1.18,windows home 10.00,48,788.5
asus,intel,i7,4,1.8,4.6,ddr4,12,0,256,intel,1700,300,1150,led ips,15.6,1920,1080,60,1.7,windows home 10.00,37,799.5
asus,intel,i5,4,1.6,3.9,ddr4,12,0,256,intel,1700,300,1100,led ips,15.6,1920,1080,60,1.9,windows home 10.00,56,799.5
asus,intel,i5,4,1,3.6,ddr4,8,0,512,intel,8192,300,1050,led ips,14,1920,1080,100,1.17,windows home 10.00,67,799.5
asus,amd,ryzen5,6,3,4,ddr4,8,0,512,nvidia,4096,1380,1560,led ips,15.6,1920,1080,60,2.3,windows home 10.00,48,799.5
asus,intel,i5,4,1.6,3.4,ddr3,8,0,512,intel,1700,300,1100,led ips,14,1920,1080,90,1.4,windows home 10.00,57,800
asus,intel,i5,4,1.6,4.2,ddr4,8,0,256,intel,1700,300,1100,led ips,14,1920,1080,60,1.6,windows home 10.00,48,800
asus,intel,i7,4,1.8,4.9,ddr4,8,1000,256,intel,1700,300,1150,led ips,15.6,1920,1080,60,1.8,windows home 10.00,37,800
asus,intel,i5,4,2.3,4,ddr4,8,0,128,nvidia,4096,1493,1620,led ips,15.6,1920,1080,60,2.31,windows home 10.00,48,812
asus,amd,ryzen7,8,2,4.1,ddr4,8,0,256,nvidia,2048,1531,1594,led ips,15.6,1920,1080,100,1.9,windows home 10.00,56,840
asus,amd,ryzen7,8,2,4.1,ddr4,16,0,512,amd,2048,1100,1600,led ips,15.6,1920,1080,60,1.7,windows home 10.00,42,849
asus,intel,i5,4,1.6,3.9,ddr4,8,0,256,intel,1700,300,1100,led ips,14,1920,1080,60,1.23,windows pro 10.00,50,850.5
asus,intel,i7,4,1.8,4,ddr4,8,1000,128,intel,1700,300,1150,led ips,15.6,1920,1080,70,1.7,windows home 10.00,42,867.5
asus,intel,i7,4,1.8,4,ddr3,8,0,256,intel,1700,300,1150,led ips,13.3,1920,1080,90,1.12,windows home 10.00,50,879.5
asus,intel,i5,4,1,3.6,ddr4,8,0,512,intel,8192,300,1050,led ips,13.3,1920,1080,60,1.3,windows home 10.00,67,879.5
asus,amd,ryzen7,4,2.3,4,ddr4,8,0,256,nvidia,6144,1455,1590,led ips,15.6,1920,1080,50,2.3,windows home 10.00,48,884.5
asus,intel,i7,6,2.6,4.5,ddr4,8,0,512,nvidia,4096,1395,1560,led ips,15.6,1920,1080,60,2.4,windows home 10.00,48,899.5
asus,intel,i7,6,2.6,5,ddr4,8,0,512,nvidia,4096,1530,1725,led ips,15.6,1920,1080,90,2.3,windows home 10.00,66,899.5
asus,intel,i7,4,2.8,4.7,ddr4,8,0,512,intel,8192,400,1300,led ips,13.3,1920,1080,90,1.11,windows home 10.00,67,899.5
asus,intel,i7,4,2.8,4.7,ddr4,8,0,512,intel,8192,400,1300,led ips,14,1920,1080,100,1.17,windows home 10.00,67,899.5
